HIGH_CH,DIAB,OBES,PHY_IA,SMOKE,DEATH
40.1,8.2,30.1,23.5,17.5,353.7
41.1,15.1,41.2,26.7,24.5,575.2
39.2,27.9,46.4,42.3,24.4,473.7
41.1,17,47.3,38.9,21.4,425.9
42.3,13.9,46.7,32,21.4,545.8
41.3,22.5,36.1,40,22.8,461.4
38.6,13.9,36.6,30.5,20.7,526.7
43.4,20.9,42.5,40.1,23.8,480.3
41,13.5,35.9,34.3,21.9,524.2
40.6,18.2,35.1,33.4,22,523.4
36.6,14.2,41.8,30.7,20.8,427.8
39.5,17,36.4,32.1,24.6,432.7
42.2,17.1,41.5,39.1,23.8,432.1
42.3,13.1,34.7,27.4,21.5,385.3
38.6,14.4,38.5,31.2,21.6,374.9
36.8,13.3,38,27.6,20.2,470.1
41.8,19.9,43,34.7,23.8,396.1
34.3,14.2,38.6,28,19.4,461.9
41,9.9,31.7,32.1,22.9,410.5
40.3,15.9,50.3,33.8,24.1,591.6
38.5,12.2,37.4,33.1,22.7,503.7
41.1,14,36.5,33,20.8,484.8
42.5,17.9,37.8,27.9,22.7,432.2
40.2,12.8,36.6,36,22,501.8
42.6,18,38,22.6,24.7,476.8
41.1,15.2,45.5,30.5,22.6,476.3
43.2,19.3,34.5,29.2,22.6,416.1
39.8,12.7,32.5,25.6,18.4,373.9
41,20.5,32.5,28.8,23.2,468.9
40.1,15.5,45.2,31.8,21.7,539.3
42.2,16.8,38.7,31.9,22.6,494.4
41.7,18,47,34.9,24.6,526.2
39.9,16.8,38.8,25.2,22.6,491
38.4,16.2,43,32.2,20.5,457.5
34.9,12.1,36.1,27.4,19.1,441.1
41.8,13,39.8,29.9,23.5,802.6
44,20,35.7,34.7,23.3,466.3
37,11.4,32.7,30.2,19.4,401
40.8,12.2,32.5,32.6,22.1,463.6
40.3,15.2,39.7,30,20.4,616.2
40.6,15.6,42,27.5,22,377.3
42.8,12,38.1,27.7,21.8,421.9
41.6,16.8,42.1,31.9,22.8,481.5
42.3,14.2,37.1,32.3,23.6,516.2
41.2,12.1,34,24.9,22.9,534.9
42.9,23.1,44.6,34.1,22.9,453.2
40.7,13.3,35.6,33,21.7,559.4
39.1,14.8,42.8,31.4,23.7,638.5
41.7,14.3,30.3,32.3,24.3,478.6
37.5,13.9,34.9,23.7,19.1,480.4
41.8,14.8,35.9,32,22.1,528
41.7,13.3,35.3,32.6,22.6,548.8
35.7,11.5,34.4,28.4,18,383.5
34.1,10.6,30.8,20.2,18.5,294.6
38.4,11.2,32.6,25.3,20.2,462.9
41.2,14.2,43.4,31.4,25,468.2
37.4,14.5,51,31.6,20.1,612.1
34.3,11.9,33.5,23.7,16.7,404.6
40.2,10,36.8,36.1,22.2,461.8
36,15.2,37.1,28.8,19.4,330.5
39.6,10.4,35.2,26.2,20.1,491.4
41.4,15,33.5,32.2,21.6,534.1
37.6,15.5,38.6,31.6,22.2,347
39,12.8,36.6,28.5,21.1,400.4
36.8,9.4,37.5,22.9,14.7,304.3
39.9,14.6,38.8,35.3,23.1,522.7
41.2,11.3,34.2,25.3,22.3,482.1
33.2,14.9,50.9,26.7,21.8,182.4
32.8,8.2,41.5,27.2,20.4,172.6
32.1,8.6,30.1,17,17.3,255.6
31.9,7.2,33.9,28.1,35.8,343.4
34.7,16.1,41.8,26.8,21.9,-1
33.5,7.7,23,20.7,19.4,218.6
31.7,8.4,30.5,25.6,30.7,363.3
31.6,7.9,31.1,18.6,17.5,283.5
37.5,5.2,28.2,17.7,16.9,225.4
39.1,11.7,29.8,14.5,22.3,211.5
31.4,5.6,26.1,17.6,16.1,228.9
35.1,8.1,32.9,19.9,20.8,260.9
34.8,9.5,38.4,19.2,20.1,275.3
32.1,6.8,28.1,24.8,19.3,268.2
34.4,11.6,37.1,26.6,30,277.9
32.3,8.6,34.3,19.8,20.5,223.2
31.9,7.2,40.2,19.9,34.8,442.1
31.9,5.8,43.4,33.6,26.8,278.8
31.2,15.7,44.9,24.4,34.9,404.7
36,7.1,25.1,22.1,19.2,218.8
36.8,10.1,39.6,18.1,26.3,279.5
33.1,5.8,25.5,17.6,17.4,148.6
33,4.4,25.8,17,17.5,-1
35.8,9.3,32.3,18.8,22.4,290.3
34,6.3,33.5,21.5,19.2,273.8
33.3,5.4,23,27.3,45.7,52.2
39.6,16,35.8,25.8,21.4,265.4
36.2,7.9,37.1,31.5,23,-1
35.7,8.4,30.8,24.4,32.1,273.4
34.9,14.7,36,25,24,272.1
38.2,8.3,31.4,22.6,16,301.9
28.1,7.8,24.5,16.6,16,211.1
38.4,10.8,33.1,23.9,20,350.8
32.9,11.5,34.1,22.6,19.5,294.2
31.9,11.1,30,18.7,16.8,305.1
42.3,13,34.3,35.2,17.5,382.4
32.9,8,27,19.3,15.1,262.5
40.3,10.2,31.3,29.4,21.8,383
36.6,13.2,33.8,25.8,22.1,307
34.9,7.6,25.7,18.4,15.8,265
34.8,11.9,35,27.4,18,237.8
36.7,7.7,30.1,16.8,14.8,222.6
39.8,7.6,24.7,20,15.6,268.6
35.4,10.6,38.4,23.4,15.5,258.5
32.4,9.1,31,22.3,18.7,335.5
38.5,12.3,39.1,27.8,22.9,421.1
39.8,12.6,42.3,31.4,25,463.2
39.3,19.2,31.5,30.1,23.9,463.1
39.4,7.7,42.4,41.4,24,521.2
40.1,19.2,33.4,33.4,22.8,495.3
40.8,13.8,30.2,35.8,24.3,456.7
41,10,30.8,27.9,24.6,567.2
37.2,10.8,39,30.9,24.3,525.7
42.4,11.3,36.1,27.3,23.1,448.5
41.5,14.2,37.6,36.5,26.2,429.5
35.6,13.3,34.8,29.6,23.2,431
39,13.6,32.4,35.1,24.1,455.4
32.3,9.8,32,26.6,20.5,671.6
39.4,16.4,35.1,37.9,23.2,421.3
39.1,10.8,42.2,42.8,24.1,473.8
42.6,11.9,31.4,27,20.6,374.4
38.8,8.7,29.1,30.1,23,522.8
39.7,16.3,31.4,36.1,23.7,534.2
40,7.5,25.9,38.3,24.1,454.6
40.7,6.5,29.4,31.3,20.7,430.4
39.5,7,40.3,33.6,24.6,458.7
33.6,13.5,26.5,38.6,18.8,445.2
41.7,7.4,38,32.9,25.7,441.8
42.5,9.1,34.2,30.8,22,307.8
39.6,13.3,38.7,31.9,23.6,446.8
36.2,17.2,43.7,36.6,22.9,436.9
38.9,15,39.7,32.3,23.2,383.2
32.8,13.4,39.5,33.2,22,459.6
37.4,15.3,36.9,39,23.6,454.6
39.4,17.1,41.9,35.5,24.5,455.8
40.2,14.5,40.1,46.6,22.6,449.4
41.2,7.4,47.1,33.5,26.4,590.3
36.8,16,34.7,31,22.5,410.9
32.3,10.5,36.5,27.3,20.3,382.1
43.3,9.7,32.3,29.8,25.2,388.6
40.1,13.7,29.1,27,20.8,434.9
38,15.3,34.3,36.8,21.7,396.5
36.7,13.6,38.1,33.5,24.2,375.4
39,13.5,35,29.4,23.9,462.6
38.1,9.8,29.7,31.9,23.4,535.8
41.6,13.2,32.7,26.3,22.5,411.6
39.5,28.7,38.9,25.5,27.2,459.1
36.9,12.8,42.8,32.4,23.7,487.4
38,11.4,40.9,30,24.6,447.7
41.1,15.7,46.1,30.5,22.9,455.3
39.3,9.5,38,25.8,24.5,444.3
39.1,12.6,40.5,31.4,27.7,457.6
36.3,14.2,44.5,36.4,26.7,506.9
35.3,13.6,40.9,30.7,22,322.5
43.4,9.8,26.8,27,23.4,423.8
37.9,16.9,42.9,35.1,26.4,576.6
41.9,15.8,43,30.8,25.9,567.9
43.3,6.2,24.9,24.5,23.6,396
40.2,12.3,43,45.3,23.9,449.3
42.8,8.6,39.8,25.6,22.8,472.1
40.2,15.9,40.9,32,23.6,435.4
40.3,9.9,36.5,27.2,23.5,391.1
39.8,17.8,44.9,34.7,25.4,330.7
39.9,14.7,29.2,29.8,23.5,436.3
39.9,19.7,41.1,31.3,26.4,585
36.5,13.6,35,28.4,22.4,419.7
41.5,10.4,36,49.8,22.6,425.9
35.1,11.2,33.9,26,18.4,344
40.4,14.2,33.5,35.6,25.7,392.2
37.2,14.2,48.4,30.1,27.1,482.9
37.2,9.2,30.2,25.3,19.9,348.2
43.4,14.6,25.7,28.4,25,399.8
43.5,19.2,41.3,35.8,25.5,459.1
45.2,10.6,41,32.2,24.6,336
39,11.2,34.7,36.7,21.6,412.6
43.2,13.4,37.7,24.8,23.1,340
36.2,16.1,33,33.4,22.9,490.7
41.5,25.3,33,35.9,24.5,507.5
38.8,11.5,36.9,35,24,509.7
28.4,6.7,22,14.5,11.3,213.4
37,14.2,29.8,21.2,14.6,312.6
33.9,9.3,30.3,22.2,15.3,326.9
38.5,7.4,28.1,24,13.9,300
33.9,14.7,38.8,25.7,15.3,304.8
30.7,7.5,24.9,15.8,11,200.5
35.7,15.8,33.9,32.7,18.8,305.8
36,5.9,25.2,17,12.7,248.4
35.2,10.1,34.1,20.8,16.6,316.8
33.7,8.8,24.8,15.6,16.1,308.4
31.3,13.5,34,24.7,17.1,334.4
38,7.9,22.7,21.2,17.1,314.4
32.1,14.5,32.8,33.4,18.5,354.6
34.7,6.3,17.5,12.3,9.2,170.1
38.3,5.3,16.1,15.7,14.5,312
36.5,8.4,30.5,15.3,15.8,278.1
32.6,13,33.4,27.4,16.3,308.5
39.4,8.3,26.1,21.5,17,345.4
33,8.7,24.8,18.9,13.6,213.6
33.9,8.2,23.7,16.7,11.8,243.8
37.8,3.5,18.1,11.6,12.5,251.3
34.2,5.4,20.2,12.8,11.1,235.5
38.8,4.6,23.8,20.7,14,342.6
31.4,8.8,29.7,19.6,14,280.4
32.1,9.1,35.4,25.4,13.1,230.9
29.6,6,17,14.6,11.7,211.8
33.2,9.8,35.3,25.4,14.8,304.1
32.1,7.7,28.5,14.9,12.4,217.3
